Genero,Edad,estrato,price_plan,nombre_zone,motivo_rechazo_solicitud,mes,dia,venta,grupo_edad,tipo_plan,plan_MB
H,40,2,63749.0,S,Tiempos y Procesos,6,18,0,40-49,Internet-voz,100
H,65,2,70549.0,N,No Aplica,6,4,1,60-69,Internet-voz,200
H,27,2,61965.0,C,No Aplica,8,5,1,18-29,Internet-voz,250
H,41,3,70549.0,N,No Aplica,5,29,1,40-49,Internet-voz,200
H,65,4,70549.0,S,No Aplica,4,13,1,60-69,Internet-voz,200
M,52,3,61965.0,O,No Aplica,9,30,1,50-59,Internet-voz,250
M,32,2,62250.0,N,Errores en la Solicitud,1,17,0,30-39,Internet,200
H,56,3,70549.0,N,Tiempos y Procesos,3,18,0,50-59,Internet-voz,200
M,61,3,61965.0,O,No Aplica,9,27,1,60-69,Internet-voz,250
H,46,2,68850.0,C,No Aplica,11,7,1,40-49,Internet-voz,350
H,48,4,76415.0,N,No Aplica,12,17,1,40-49,Internet-voz,250
H,31,3,64800.0,C,Financiero,8,8,0,30-39,Internet-voz,350
M,60,2,79049.0,S,No Aplica,4,30,1,60-69,Internet-voz,300
H,60,3,74399.0,N,Financiero,5,27,0,60-69,Internet-voz,300
M,28,3,59999.0,O,No Aplica,2,26,1,18-29,Internet-voz,100
M,27,3,55120.0,C,Errores en la Solicitud,12,6,0,18-29,Internet,250
M,40,2,68850.0,C,No Aplica,8,8,1,40-49,Internet-voz,350
H,28,3,69749.0,S,No Aplica,6,19,1,18-29,Internet,300
H,25,1,61965.0,O,No Aplica,11,12,1,18-29,Internet-voz,250
H,64,3,69749.0,S,Falta de Interés,4,19,0,60-69,Internet,300
H,57,5,66400.0,C,Financiero,6,12,0,50-59,Internet,200
M,39,1,63749.0,O,Tiempos y Procesos,2,9,0,30-39,Internet-voz,100
H,22,2,61965.0,O,No Aplica,9,12,1,18-29,Internet-voz,250
M,40,1,61965.0,O,Otro,7,4,0,40-49,Internet-voz,250
H,18,2,68850.0,N,No Aplica,8,29,1,18-29,Internet-voz,350
M,26,2,63749.0,N,No Aplica,4,21,1,18-29,Internet-voz,100
H,49,5,67920.0,N,Financiero,2,28,0,40-49,Internet,250
M,45,3,63749.0,N,No Aplica,1,24,1,40-49,Internet-voz,100
M,40,2,61965.0,C,No Aplica,12,16,1,40-49,Internet-voz,250
M,44,2,59999.0,N,Otro,9,4,0,40-49,Internet-voz,100
H,19,4,70549.0,N,Tiempos y Procesos,3,15,0,18-29,Internet-voz,200
H,36,2,79049.0,C,Financiero,6,14,0,30-39,Internet-voz,300
M,25,5,70549.0,N,No Aplica,2,1,1,18-29,Internet-voz,200
M,38,6,63749.0,O,No Aplica,1,5,1,30-39,Internet-voz,100
H,37,5,82365.0,S,Doble Solicitud,11,20,0,30-39,Internet,350
H,59,2,66725.0,S,No Aplica,10,21,1,50-59,Internet,350
H,39,2,63749.0,C,No Aplica,6,7,1,30-39,Internet-voz,100
M,27,2,58565.0,O,No Aplica,9,17,1,18-29,Internet,250
H,31,3,61965.0,N,Financiero,10,25,0,30-39,Internet-voz,250
M,62,3,61965.0,N,No Aplica,7,3,1,60-69,Internet-voz,250
H,50,4,67920.0,N,No Aplica,9,9,1,50-59,Internet,250
M,37,3,56249.0,S,No Aplica,2,6,1,30-39,Internet,100
M,46,4,62250.0,C,No Aplica,10,14,1,40-49,Internet,200
M,62,1,63749.0,O,No Aplica,5,29,1,60-69,Internet-voz,100
H,26,1,70549.0,O,No Aplica,4,29,1,18-29,Internet-voz,200
H,35,4,79049.0,N,No Aplica,1,19,1,30-39,Internet-voz,300
H,27,3,68850.0,N,Financiero,8,27,0,18-29,Internet-voz,350
H,52,3,62800.0,S,Errores en la Solicitud,7,12,0,50-59,Internet,350
H,44,3,70549.0,S,No Aplica,1,15,1,40-49,Internet-voz,200
M,65,3,56249.0,C,No Aplica,4,22,1,60-69,Internet,100
H,39,6,63749.0,C,Tiempos y Procesos,5,31,0,30-39,Internet-voz,100
H,25,4,66399.0,S,Otro,9,28,0,18-29,Internet-voz,200
H,38,2,63749.0,O,No Aplica,5,2,1,30-39,Internet-voz,100
M,62,1,63749.0,O,No Aplica,4,24,1,60-69,Internet-voz,100
H,38,1,58565.0,O,No Aplica,7,25,1,30-39,Internet,250
H,46,1,63749.0,O,No Aplica,12,28,1,40-49,Internet-voz,100
M,52,2,61965.0,O,No Aplica,9,24,1,50-59,Internet-voz,250
H,24,3,70549.0,S,Tiempos y Procesos,6,10,0,18-29,Internet-voz,200
H,47,1,68850.0,O,No Aplica,10,14,1,40-49,Internet-voz,350
M,48,2,63749.0,O,Tiempos y Procesos,2,7,0,40-49,Internet-voz,100
M,37,4,63749.0,S,Tiempos y Procesos,6,14,0,30-39,Internet-voz,100
H,62,2,63749.0,S,No Aplica,4,17,1,60-69,Internet-voz,100
H,62,3,62800.0,N,No Aplica,9,6,1,60-69,Internet,350
H,55,4,79049.0,S,No Aplica,6,24,1,50-59,Internet-voz,300
H,31,1,63749.0,O,No Aplica,2,10,1,30-39,Internet-voz,100
H,48,4,63749.0,N,No Aplica,5,19,1,40-49,Internet-voz,100
H,43,2,63749.0,O,Financiero,6,12,0,40-49,Internet-voz,100
H,57,3,79049.0,N,Falta de Interés,1,14,0,50-59,Internet-voz,300
M,30,3,58320.0,S,No Aplica,8,15,1,30-39,Internet-voz,250
H,33,2,58320.0,S,No Aplica,9,17,1,30-39,Internet-voz,250
H,40,3,69749.0,S,Financiero,4,19,0,40-49,Internet,300
M,47,2,79049.0,O,Tiempos y Procesos,6,6,0,40-49,Internet-voz,300
M,51,3,56249.0,S,Errores en la Solicitud,6,12,0,50-59,Internet,100
H,33,3,79049.0,O,No Aplica,5,29,1,30-39,Internet-voz,300
H,42,3,61965.0,C,No Aplica,9,23,1,40-49,Internet-voz,250
M,62,2,68850.0,C,No Aplica,9,29,1,60-69,Internet-voz,350
H,34,2,66399.0,O,No Aplica,5,29,1,30-39,Internet-voz,200
H,57,1,63749.0,O,No Aplica,5,15,1,50-59,Internet-voz,100
H,19,3,61965.0,S,No Aplica,9,12,1,18-29,Internet-voz,250
H,55,2,61965.0,O,No Aplica,9,25,1,50-59,Internet-voz,250
M,56,3,79049.0,N,No Aplica,5,22,1,50-59,Internet-voz,300
H,37,5,70549.0,S,No Aplica,2,13,1,30-39,Internet-voz,200
H,23,1,61965.0,O,No Aplica,8,16,1,18-29,Internet-voz,250
H,20,2,74399.0,N,Falta de Interés,1,5,0,18-29,Internet-voz,300
H,49,2,56249.0,N,No Aplica,5,29,1,40-49,Internet,100
H,45,3,63749.0,N,No Aplica,4,10,1,40-49,Internet-voz,100
H,45,3,63749.0,N,No Aplica,6,12,1,40-49,Internet-voz,100
M,29,3,66725.0,S,No Aplica,10,23,1,18-29,Internet,350
H,54,4,69749.0,S,Falta de Interés,4,11,0,50-59,Internet,300
H,23,2,62250.0,O,Financiero,3,24,0,18-29,Internet,200
H,25,2,63749.0,C,No Aplica,2,7,1,18-29,Internet-voz,100
H,21,3,69749.0,N,No Aplica,6,26,1,18-29,Internet,300
M,63,1,70549.0,O,Errores en la Solicitud,6,14,0,60-69,Internet-voz,200
H,26,3,74399.0,S,No Aplica,4,23,1,18-29,Internet-voz,300
H,46,1,58565.0,O,No Aplica,7,22,1,40-49,Internet,250
H,19,3,58320.0,S,No Aplica,7,12,1,18-29,Internet-voz,250
H,65,3,61965.0,N,Financiero,8,3,0,60-69,Internet-voz,250
H,66,4,70549.0,S,No Aplica,2,6,1,60-69,Internet-voz,200
M,40,3,68850.0,C,No Aplica,11,16,1,40-49,Internet-voz,350
H,44,4,69749.0,N,No Aplica,3,18,1,40-49,Internet,300
H,53,5,70549.0,S,Otro,1,10,0,50-59,Internet-voz,200
M,34,5,70549.0,N,No Aplica,3,22,1,30-39,Internet-voz,200
H,31,1,61965.0,C,No Aplica,11,23,1,30-39,Internet-voz,250
M,59,1,61965.0,C,No Aplica,8,12,1,50-59,Internet-voz,250
H,54,1,55120.0,N,No Aplica,11,7,1,50-59,Internet,250
H,35,6,79049.0,C,No Aplica,4,11,1,30-39,Internet-voz,300
H,41,2,70549.0,S,No Aplica,6,19,1,40-49,Internet-voz,200
M,51,2,69749.0,C,No Aplica,9,22,1,50-59,Internet,300
H,46,5,71920.0,S,Errores en la Solicitud,12,17,0,40-49,Internet-voz,250
H,34,2,55120.0,S,Financiero,1,24,0,30-39,Internet,250
H,35,3,69749.0,C,No Aplica,5,7,1,30-39,Internet,300
H,65,2,62250.0,N,Errores en la Solicitud,2,2,0,60-69,Internet,200
H,51,1,70549.0,O,Financiero,2,8,0,50-59,Internet-voz,200
M,55,3,79049.0,S,Financiero,6,21,0,50-59,Internet-voz,300
H,25,1,61965.0,O,No Aplica,12,20,1,18-29,Internet-voz,250
H,66,4,72165.0,S,No Aplica,12,19,1,60-69,Internet,250
M,36,3,56249.0,S,No Aplica,4,25,1,30-39,Internet,100
H,64,2,70549.0,N,No Aplica,6,17,1,60-69,Internet-voz,200
H,21,2,74399.0,O,No Aplica,9,1,1,18-29,Internet-voz,300
M,55,3,66399.0,C,Errores en la Solicitud,5,8,0,50-59,Internet-voz,200
H,45,2,63749.0,N,No Aplica,4,8,1,40-49,Internet-voz,100
H,38,6,70549.0,C,Otro,2,15,0,30-39,Internet-voz,200
M,26,2,79049.0,O,No Aplica,5,23,1,18-29,Internet-voz,300
H,44,3,61965.0,S,Financiero,7,6,0,40-49,Internet-voz,250
H,62,1,63749.0,O,Financiero,5,26,0,60-69,Internet-voz,100
H,57,3,62800.0,S,No Aplica,9,23,1,50-59,Internet,350
H,63,2,68850.0,N,No Aplica,10,17,1,60-69,Internet-voz,350
H,21,2,58565.0,N,No Aplica,10,5,1,18-29,Internet,250
H,56,3,64800.0,S,No Aplica,12,4,1,50-59,Internet-voz,350
H,66,4,76415.0,S,No Aplica,10,3,1,60-69,Internet-voz,250
H,57,4,74999.0,S,No Aplica,4,3,1,50-59,Internet-voz,100
H,40,1,55120.0,O,No Aplica,7,22,1,40-49,Internet,250
H,49,1,70549.0,O,Financiero,3,12,0,40-49,Internet-voz,200
M,46,2,61965.0,S,Financiero,7,26,0,40-49,Internet-voz,250
H,28,2,61965.0,S,No Aplica,11,14,1,18-29,Internet-voz,250
H,65,2,79049.0,S,No Aplica,3,21,1,60-69,Internet-voz,300
H,34,2,70549.0,N,No Aplica,3,19,1,30-39,Internet-voz,200
H,57,2,61965.0,C,Errores en la Solicitud,8,9,0,50-59,Internet-voz,250
H,64,4,76415.0,N,No Aplica,8,16,1,60-69,Internet-voz,250
H,53,3,61965.0,S,No Aplica,8,24,1,50-59,Internet-voz,250
M,46,1,63749.0,O,No Aplica,4,29,1,40-49,Internet-voz,100
M,20,1,79049.0,N,No Aplica,6,7,1,18-29,Internet-voz,300
H,66,5,79049.0,N,No Aplica,1,10,1,60-69,Internet-voz,300
M,54,3,63749.0,S,No Aplica,4,29,1,50-59,Internet-voz,100
H,53,3,61965.0,S,No Aplica,12,18,1,50-59,Internet-voz,250
H,49,2,70549.0,O,Errores en la Solicitud,5,20,0,40-49,Internet-voz,200
M,40,2,56249.0,O,No Aplica,6,21,1,40-49,Internet,100
H,40,3,63749.0,C,No Aplica,3,7,1,40-49,Internet-voz,100
M,42,2,70549.0,C,No Aplica,5,24,1,40-49,Internet-voz,200
H,38,3,68850.0,S,No Aplica,9,17,1,30-39,Internet-voz,350
H,49,6,70549.0,C,Tiempos y Procesos,2,21,0,40-49,Internet-voz,200
M,57,3,63749.0,N,Financiero,3,15,0,50-59,Internet-voz,100
H,23,3,62250.0,S,Otro,2,6,0,18-29,Internet,200
H,66,3,79049.0,C,Errores en la Solicitud,4,16,0,60-69,Internet-voz,300
H,21,1,63749.0,O,No Aplica,1,20,1,18-29,Internet-voz,100
H,64,2,61965.0,O,No Aplica,9,4,1,60-69,Internet-voz,250
H,46,1,61965.0,O,No Aplica,7,6,1,40-49,Internet-voz,250
H,45,5,69749.0,N,No Aplica,5,20,1,40-49,Internet,300
H,37,2,61965.0,N,No Aplica,9,13,1,30-39,Internet-voz,250
H,41,3,79049.0,C,No Aplica,1,29,1,40-49,Internet-voz,300
H,57,3,64800.0,S,Otro,10,12,0,50-59,Internet-voz,350
M,64,3,63749.0,C,Financiero,4,4,0,60-69,Internet-voz,100
H,64,1,61965.0,O,Doble Solicitud,12,1,0,60-69,Internet-voz,250
H,18,2,68850.0,C,Tiempos y Procesos,7,11,0,18-29,Internet-voz,350
H,50,1,61965.0,O,Doble Solicitud,11,17,0,50-59,Internet-voz,250
H,62,2,68850.0,S,No Aplica,9,27,1,60-69,Internet-voz,350
M,56,5,76415.0,S,No Aplica,9,16,1,50-59,Internet-voz,250
M,59,2,63749.0,O,No Aplica,2,2,1,50-59,Internet-voz,100
H,44,1,61965.0,O,No Aplica,7,30,1,40-49,Internet-voz,250
H,31,2,70549.0,S,No Aplica,3,13,1,30-39,Internet-voz,200
M,49,3,78500.0,C,No Aplica,7,4,1,40-49,Internet,350
H,28,2,70549.0,S,No Aplica,5,15,1,18-29,Internet-voz,200
H,61,6,79049.0,C,No Aplica,2,23,1,60-69,Internet-voz,300
M,47,2,63749.0,O,No Aplica,3,7,1,40-49,Internet-voz,100
H,48,3,59999.0,N,No Aplica,5,31,1,40-49,Internet-voz,100
H,42,3,74399.0,N,No Aplica,2,1,1,40-49,Internet-voz,300
H,22,1,79049.0,C,Otro,1,13,0,18-29,Internet-voz,300
H,30,3,68850.0,C,No Aplica,11,28,1,30-39,Internet-voz,350
H,28,2,61965.0,N,No Aplica,7,8,1,18-29,Internet-voz,250
M,20,1,68850.0,O,No Aplica,11,20,1,18-29,Internet-voz,350
M,41,3,68900.0,C,No Aplica,1,6,1,40-49,Internet,250
H,43,2,63749.0,N,Financiero,3,16,0,40-49,Internet-voz,100
H,23,1,61965.0,O,No Aplica,9,18,1,18-29,Internet-voz,250
M,38,1,66400.0,O,Errores en la Solicitud,3,18,0,30-39,Internet,200
H,29,4,70549.0,S,No Aplica,5,22,1,18-29,Internet-voz,200
H,61,2,68850.0,C,No Aplica,11,18,1,60-69,Internet-voz,350
M,63,4,70549.0,S,No Aplica,2,8,1,60-69,Internet-voz,200
M,32,4,79049.0,N,Tiempos y Procesos,1,19,0,30-39,Internet-voz,300
M,38,2,61965.0,S,No Aplica,7,4,1,30-39,Internet-voz,250
H,59,2,62250.0,O,Otro,8,11,0,50-59,Internet,200
M,35,3,68850.0,C,No Aplica,10,5,1,30-39,Internet-voz,350
M,51,4,79049.0,N,No Aplica,6,15,1,50-59,Internet-voz,300
H,21,3,55120.0,N,Errores en la Solicitud,8,15,0,18-29,Internet,250
H,22,1,61965.0,O,No Aplica,8,16,1,18-29,Internet-voz,250
H,35,4,76415.0,S,Tiempos y Procesos,12,14,0,30-39,Internet-voz,250
H,26,2,63749.0,O,No Aplica,1,29,1,18-29,Internet-voz,100
M,42,1,63749.0,O,Tiempos y Procesos,4,12,0,40-49,Internet-voz,100
H,35,4,63749.0,C,No Aplica,4,5,1,30-39,Internet-voz,100
M,55,2,61965.0,O,No Aplica,9,22,1,50-59,Internet-voz,250
H,55,4,55120.0,N,Falta de Interés,8,30,0,50-59,Internet,250
H,20,1,61965.0,O,No Aplica,9,4,1,18-29,Internet-voz,250
M,50,1,61965.0,O,No Aplica,9,16,1,50-59,Internet-voz,250
H,50,2,61965.0,C,No Aplica,10,2,1,50-59,Internet-voz,250
H,27,3,74399.0,S,Tiempos y Procesos,3,20,0,18-29,Internet,300
H,40,1,61965.0,O,No Aplica,12,10,1,40-49,Internet-voz,250
M,29,4,70549.0,S,Errores en la Solicitud,4,23,0,18-29,Internet-voz,200
H,35,5,79049.0,S,No Aplica,5,8,1,30-39,Internet-voz,300
H,29,1,63749.0,O,No Aplica,1,23,1,18-29,Internet-voz,100
H,48,4,79920.0,S,No Aplica,11,19,1,40-49,Internet-voz,350
M,21,2,79049.0,O,No Aplica,4,9,1,18-29,Internet-voz,300
H,65,1,63749.0,N,No Aplica,2,20,1,60-69,Internet-voz,100
M,41,3,61965.0,N,No Aplica,11,25,1,40-49,Internet-voz,250
M,32,2,61965.0,O,No Aplica,7,9,1,30-39,Internet-voz,250
H,59,3,68850.0,N,No Aplica,12,23,1,50-59,Internet-voz,350
M,65,1,63749.0,O,No Aplica,2,14,1,60-69,Internet-voz,100
H,55,2,68850.0,O,No Aplica,9,30,1,50-59,Internet-voz,350
H,30,6,79049.0,C,No Aplica,1,15,1,30-39,Internet-voz,300
H,30,1,63749.0,O,No Aplica,1,26,1,30-39,Internet-voz,100
H,42,2,68850.0,O,No Aplica,8,27,1,40-49,Internet-voz,350
H,52,2,68850.0,O,No Aplica,12,14,1,50-59,Internet-voz,350
M,33,4,69749.0,S,Errores en la Solicitud,5,27,0,30-39,Internet,300
H,26,2,63749.0,O,No Aplica,4,7,1,18-29,Internet-voz,100
H,41,3,62250.0,N,Errores en la Solicitud,11,30,0,40-49,Internet,200
H,21,3,68850.0,N,No Aplica,10,28,1,18-29,Internet-voz,350
H,36,3,69749.0,N,Falta de Interés,3,23,0,30-39,Internet,300
H,32,2,69749.0,C,No Aplica,12,30,1,30-39,Internet,300
H,39,3,62800.0,S,No Aplica,1,21,1,30-39,Internet,350
H,42,3,79049.0,S,Tiempos y Procesos,5,20,0,40-49,Internet-voz,300
