Edad,estrato,price_plan,mes,dia,venta,plan_MB,genero_label,tipo_plan_label,nombre_zone_N,nombre_zone_O,nombre_zone_S,grupo_edad_30-39,grupo_edad_40-49,grupo_edad_50-59,grupo_edad_60-69,motivo_rechazo_solicitud_Doble Solicitud,motivo_rechazo_solicitud_Errores en la Solicitud,motivo_rechazo_solicitud_Falta de Interés,motivo_rechazo_solicitud_Financiero,motivo_rechazo_solicitud_No Aplica,motivo_rechazo_solicitud_Otro,motivo_rechazo_solicitud_Tiempos y Procesos
40,2,63749.0,6,18,0,100,0,1,False,False,True,False,True,False,False,False,False,False,False,False,False,True
65,2,70549.0,6,4,1,200,0,1,True,False,False,False,False,False,True,False,False,False,False,True,False,False
27,2,61965.0,8,5,1,250,0,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False
41,3,70549.0,5,29,1,200,0,1,True,False,False,False,True,False,False,False,False,False,False,True,False,False
65,4,70549.0,4,13,1,200,0,1,False,False,True,False,False,False,True,False,False,False,False,True,False,False
52,3,61965.0,9,30,1,250,1,1,False,True,False,False,False,True,False,False,False,False,False,True,False,False
32,2,62250.0,1,17,0,200,1,0,True,False,False,True,False,False,False,False,True,False,False,False,False,False
56,3,70549.0,3,18,0,200,0,1,True,False,False,False,False,True,False,False,False,False,False,False,False,True
61,3,61965.0,9,27,1,250,1,1,False,True,False,False,False,False,True,False,False,False,False,True,False,False
46,2,68850.0,11,7,1,350,0,1,False,False,False,False,True,False,False,False,False,False,False,True,False,False
48,4,76415.0,12,17,1,250,0,1,True,False,False,False,True,False,False,False,False,False,False,True,False,False
31,3,64800.0,8,8,0,350,0,1,False,False,False,True,False,False,False,False,False,False,True,False,False,False
60,2,79049.0,4,30,1,300,1,1,False,False,True,False,False,False,True,False,False,False,False,True,False,False
60,3,74399.0,5,27,0,300,0,1,True,False,False,False,False,False,True,False,False,False,True,False,False,False
28,3,59999.0,2,26,1,100,1,1,False,True,False,False,False,False,False,False,False,False,False,True,False,False
27,3,55120.0,12,6,0,250,1,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False
40,2,68850.0,8,8,1,350,1,1,False,False,False,False,True,False,False,False,False,False,False,True,False,False
28,3,69749.0,6,19,1,300,0,0,False,False,True,False,False,False,False,False,False,False,False,True,False,False
25,1,61965.0,11,12,1,250,0,1,False,True,False,False,False,False,False,False,False,False,False,True,False,False
64,3,69749.0,4,19,0,300,0,0,False,False,True,False,False,False,True,False,False,True,False,False,False,False
57,5,66400.0,6,12,0,200,0,0,False,False,False,False,False,True,False,False,False,False,True,False,False,False
39,1,63749.0,2,9,0,100,1,1,False,True,False,True,False,False,False,False,False,False,False,False,False,True
