is_actived,Genero,Edad,city_owner,estrato,plan,id_plan,price_plan,user_creation_id,cdo,plan_type,ventas_Retiradas_causales,Retiro,id_comuna,Comuna,duracion_contrato,dia_semana_num,mes
Rechazado,M,50,Cali,3,DPL BA 200MB+VOZ ILIM-22,1260,66399.0,106,0005S0445,Dupla,No Aplica,NO,7,Comuna 07,724,3,3
Orden creada,M,29,Cali,4,INTERNET 100MB,1271,74999.0,107,0001S1172,Internet,No Aplica,NO,10,Comuna 10,724,4,3
Rechazado,M,49,Cali,5,DPL BA 200MB+VOZ ILIM-22,1260,66399.0,109,0012S1113,Dupla,No Aplica,NO,19,Comuna 19,723,5,3
Por Agendar,H,59,Cali,3,DPL BA 500MB+VOZ ILIM-22,1262,149999.0,117,0029S1278,Dupla,No Aplica,NO,3,Comuna 03,713,1,3
Orden creada,H,21,Cali,3,DUPLA BA 40MB+VOZ ILIM-WIFI-21,1239,47600.0,122,0013S3508,Dupla,No Aplica,NO,13,Comuna 13,709,5,3
Orden creada,H,33,Cali,2,DPL BA 80MB+VOZ ILIM-22,1258,69999.0,122,0013S3508,Dupla,No Aplica,NO,13,Comuna 13,709,5,3
Orden creada,H,64,Cali,4,INTERNET 100MB,1271,56249.0,148,0017S3547,Internet,No Aplica,NO,38,Área de Expansión Urbana,698,2,4
Orden creada,M,48,Cali,4,INTERNET 100MB,1271,56249.0,151,0016S1554,Internet,No Aplica,NO,38,Área de Expansión Urbana,698,2,4
Orden creada,H,56,Cali,2,DPL BA 300MB+VOZ ILIM-22,1261,74399.0,191,0013S2209,Dupla,No Aplica,NO,15,Comuna 15,695,5,4
Rechazado,H,22,Cali,2,INTERNET 300MB,1273,69749.0,191,0013S2209,Internet,No Aplica,NO,15,Comuna 15,695,5,4
Rechazado,H,57,Cali,2,INTERNET 300MB,1273,69749.0,191,0013S2209,Internet,No Aplica,NO,15,Comuna 15,695,5,4
Orden creada,M,45,Cali,4,DPL BA 200MB+VOZ ILIM-22,1260,66399.0,192,0017S0512,Dupla,No Aplica,NO,16,Comuna 16,695,5,4
Orden creada,H,34,Cali,3,DPL BA 200MB+VOZ ILIM-22,1260,66399.0,219,0005S0464,Dupla,No Aplica,NO,7,Comuna 07,692,7,4
Rechazado,H,57,Cali,2,DPL BA 200MB+VOZ ILIM-22,1260,66399.0,234,0013S0768,Dupla,No Aplica,NO,15,Comuna 15,691,2,4
Orden creada,H,38,Cali,1,DPL BA 300MB+VOZ ILIM-22,1261,74399.0,237,0029S1871,Dupla,No Aplica,NO,3,Comuna 03,691,2,4
Por Agendar,H,45,Cali,2,DPL BA 100MB+VOZ ILIM-22,1259,59999.0,147,0001S0819,Dupla,No Aplica,NO,9,Comuna 09,689,4,4
Orden creada,H,50,Cali,4,DPL BA 200MB+VOZ ILIM-22,1260,66399.0,307,0017S2753,Dupla,No Aplica,NO,17,Comuna 17,684,2,4
