is_actived,Genero,Edad,city_owner,estrato,price_plan,nombre_zone,ventas_Retiradas_causales,Retiro,motivo_rechazo_solicitud,mes,dia,venta,grupo_edad,tipo_plan,plan_MB
Orden creada,H,65,Jamundi,3,74399.0,S,Voluntario,SI,No Aplica,6,27,1,60-69,Internet-voz,300
Orden creada,H,55,Cali,5,62250.0,S,Voluntario,SI,No Aplica,6,28,1,50-59,Internet,200
Orden creada,H,27,Yumbo,3,69749.0,O,No Aplica,NO,No Aplica,6,28,1,18-29,Internet,300
Rechazado,H,30,Cali,3,74399.0,C,No Aplica,NO,Otro,6,28,0,30-39,Internet-voz,300
Orden creada,M,49,Cali,3,69749.0,S,No Aplica,NO,No Aplica,6,28,1,40-49,Internet,300
Orden creada,H,52,Cali,2,74399.0,O,No Aplica,NO,No Aplica,6,28,1,50-59,Internet-voz,300
Orden creada,H,56,Cali,3,66399.0,O,No Aplica,NO,No Aplica,6,29,1,50-59,Internet-voz,200
Orden creada,M,58,Cali,2,59999.0,S,No Aplica,NO,No Aplica,6,29,1,50-59,Internet-voz,100
Orden creada,H,46,Cali,3,62250.0,O,No Aplica,NO,No Aplica,6,30,1,40-49,Internet,200
Orden creada,H,66,Cali,1,59999.0,O,No Aplica,NO,No Aplica,6,30,1,60-69,Internet-voz,100
Orden creada,H,57,Cali,3,69749.0,C,No Aplica,NO,No Aplica,7,1,1,50-59,Internet,300
Orden creada,H,20,Cali,3,62250.0,S,Voluntario,SI,No Aplica,7,2,1,18-29,Internet,200
Orden creada,H,38,Cali,3,69749.0,O,No Aplica,NO,No Aplica,7,2,1,30-39,Internet,300
Orden creada,M,25,Cali,1,59999.0,O,Cartera,SI,No Aplica,7,2,1,18-29,Internet-voz,100
Orden creada,H,36,Cali,1,69749.0,O,No Aplica,NO,No Aplica,7,4,1,30-39,Internet,300
Orden creada,M,60,Cali,3,59999.0,O,No Aplica,NO,No Aplica,7,4,1,60-69,Internet-voz,100
Orden creada,H,32,Cali,2,62250.0,O,No Aplica,NO,No Aplica,7,4,1,30-39,Internet,200
Orden creada,H,27,Jamundi,5,69749.0,S,No Aplica,NO,No Aplica,7,6,1,18-29,Internet,300
Orden creada,H,23,Cali,4,62250.0,S,Voluntario,SI,No Aplica,7,6,1,18-29,Internet,200
Orden creada,M,50,Cali,3,62250.0,C,Voluntario,SI,No Aplica,7,6,1,50-59,Internet,200
Orden creada,H,25,Jamundi,4,69749.0,S,Anulacion,SI,No Aplica,7,6,1,18-29,Internet,300
Orden creada,H,24,Cali,1,56249.0,O,Cartera,SI,No Aplica,7,6,1,18-29,Internet,100
Orden creada,H,25,Cali,2,56249.0,O,No Aplica,NO,No Aplica,7,6,1,18-29,Internet,100
Orden creada,M,26,Cali,2,62250.0,O,No Aplica,NO,No Aplica,7,6,1,18-29,Internet,200
Orden creada,M,29,Cali,2,59999.0,O,No Aplica,NO,No Aplica,7,7,1,18-29,Internet-voz,100
Orden creada,H,42,Cali,4,66399.0,N,No Aplica,NO,No Aplica,7,7,1,40-49,Internet-voz,200
Orden creada,M,58,Cali,2,59999.0,O,No Aplica,NO,No Aplica,7,7,1,50-59,Internet-voz,100
Orden creada,M,43,Cali,3,74399.0,N,No Aplica,NO,No Aplica,7,8,1,40-49,Internet-voz,300
Rechazado,M,20,Cali,3,56249.0,S,No Aplica,NO,Otro,7,10,0,18-29,Internet,100
Orden creada,M,52,Cali,3,69749.0,S,No Aplica,NO,No Aplica,7,10,1,50-59,Internet,300
Orden creada,H,48,Cali,2,56249.0,O,Voluntario,SI,No Aplica,7,10,1,40-49,Internet,100
Orden creada,M,38,Cali,3,66399.0,O,No Aplica,NO,No Aplica,7,10,1,30-39,Internet-voz,200
Orden creada,H,24,Cali,1,56249.0,O,Voluntario,SI,No Aplica,7,10,1,18-29,Internet,100
Orden creada,M,19,Cali,4,56249.0,S,Cartera,SI,No Aplica,7,11,1,18-29,Internet,100
Orden creada,M,20,Cali,2,74399.0,C,No Aplica,NO,No Aplica,7,11,1,18-29,Internet-voz,300
Orden creada,M,53,Jamundi,3,69749.0,S,No Aplica,NO,No Aplica,7,13,1,50-59,Internet,300
Orden creada,H,21,Cali,4,69749.0,N,No Aplica,NO,No Aplica,7,13,1,18-29,Internet,300
Rechazado,M,27,Cali,3,56249.0,O,No Aplica,NO,Otro,7,14,0,18-29,Internet,100
Orden creada,H,33,Cali,5,69749.0,S,Voluntario,SI,No Aplica,7,14,1,30-39,Internet,300
Orden creada,M,37,Cali,3,69749.0,S,No Aplica,NO,No Aplica,7,14,1,30-39,Internet,300
Orden creada,H,56,Cali,3,69749.0,C,No Aplica,NO,No Aplica,7,14,1,50-59,Internet,300
Rechazado,H,30,Cali,3,68000.0,N,No Aplica,NO,Otro,7,14,0,30-39,Internet,80
Orden creada,H,19,Cali,4,62250.0,S,No Aplica,NO,No Aplica,7,14,1,18-29,Internet,200
Orden creada,H,64,Cali,3,62250.0,S,No Aplica,NO,No Aplica,7,15,1,60-69,Internet,200
Orden creada,M,29,Cali,1,56249.0,O,Voluntario,SI,No Aplica,7,15,1,18-29,Internet,100
Orden creada,H,50,Cali,2,74399.0,O,No Aplica,NO,No Aplica,7,16,1,50-59,Internet-voz,300
Orden creada,H,42,Cali,1,56249.0,O,No Aplica,NO,No Aplica,7,16,1,40-49,Internet,100
Orden creada,M,51,Cali,3,62250.0,N,Cartera,SI,No Aplica,7,16,1,50-59,Internet,200
Orden creada,M,29,Cali,3,69749.0,C,No Aplica,NO,No Aplica,7,16,1,18-29,Internet,300
Rechazado,H,27,Cali,1,69749.0,O,No Aplica,NO,Otro,7,17,0,18-29,Internet,300
Orden creada,M,42,Cali,1,69749.0,O,Cartera,SI,No Aplica,7,17,1,40-49,Internet,300
Orden creada,H,33,Cali,2,66399.0,O,No Aplica,NO,No Aplica,7,17,1,30-39,Internet-voz,200
Orden creada,M,33,Cali,3,56249.0,S,No Aplica,NO,No Aplica,7,17,1,30-39,Internet,100
Orden creada,M,42,Cali,3,59999.0,O,Anulacion,SI,No Aplica,7,17,1,40-49,Internet-voz,100
Orden creada,H,27,Cali,3,74399.0,O,No Aplica,NO,No Aplica,7,17,1,18-29,Internet-voz,300
Orden creada,M,52,Cali,4,62250.0,S,No Aplica,NO,No Aplica,7,18,1,50-59,Internet,200
Orden creada,M,32,Cali,3,56249.0,C,No Aplica,NO,No Aplica,7,18,1,30-39,Internet,100
Orden creada,M,43,Cali,2,69749.0,O,Anulacion,SI,No Aplica,7,18,1,40-49,Internet,300
Orden creada,M,61,Cali,4,62250.0,S,Cartera,SI,No Aplica,7,19,1,60-69,Internet,200
Orden creada,M,38,Cali,3,74399.0,O,No Aplica,NO,No Aplica,7,19,1,30-39,Internet-voz,300
Orden creada,M,33,Cali,3,66399.0,S,No Aplica,NO,No Aplica,7,19,1,30-39,Internet-voz,200
Orden creada,M,34,Cali,3,69749.0,S,No Aplica,NO,No Aplica,7,19,1,30-39,Internet,300
Orden creada,H,45,Cali,3,69749.0,O,No Aplica,NO,No Aplica,7,20,1,40-49,Internet,300
Orden creada,H,43,Cali,3,69749.0,S,No Aplica,NO,No Aplica,7,21,1,40-49,Internet,300
Orden creada,H,23,Cali,3,59999.0,O,No Aplica,NO,No Aplica,7,21,1,18-29,Internet-voz,100
Orden creada,M,58,Cali,3,62250.0,O,No Aplica,NO,No Aplica,7,21,1,50-59,Internet,200
Orden creada,M,40,Cali,3,59999.0,O,Voluntario,SI,No Aplica,7,21,1,40-49,Internet-voz,100
Orden creada,H,56,Cali,2,69749.0,O,No Aplica,NO,No Aplica,7,21,1,50-59,Internet,300
